English Word;Portuguese Translation (Google Translate);Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
adhesion;adesão;0;0;0;0;0;0;0;0;0;0
adhesive;adesivo;0;0;0;0;0;0;0;0;0;0
adieu;adeus;0;0;0;0;0;0;0;0;0;0
adipose;adiposo;0;1;0;0;0;0;0;0;0;0
adjacency;adjacência;0;0;0;0;0;0;0;0;0;0
adjacent;adjacente;0;0;0;0;0;0;0;0;0;0
adjective;adjetivo;0;0;0;0;0;0;0;0;0;0
adjoining;contíguo;0;0;0;0;0;0;0;0;0;0
adjourn;adiar;0;0;0;0;0;0;0;0;0;0
adjournment;adiamento;0;0;0;0;0;0;0;0;0;0
adjudicate;adjudicar;0;1;0;0;0;1;0;0;0;0
adjudication;adjudicação;0;0;0;0;0;0;0;0;0;0
adjunct;adjunto;1;0;0;0;0;0;0;0;0;0
adjust;ajustar;0;0;0;0;0;0;0;0;0;0
adjustment;ajuste;0;0;0;0;0;0;0;0;0;0
adjuvant;adjuvante;0;0;0;0;0;0;0;0;0;0
administer;administrar;0;0;0;0;0;0;0;0;0;0
administration;administração;0;0;0;0;0;0;0;0;0;0
administrative;administrativo;0;0;0;0;0;0;0;0;0;1
admirable;admirável;1;0;0;0;0;0;1;0;0;1
admiral;almirante;1;0;0;0;0;0;0;0;0;1
admiralty;almirantado;0;0;0;0;0;0;0;0;0;0
admiration;admiração;1;0;0;0;0;0;1;0;0;1
admire;admirar;1;0;0;0;0;0;0;0;0;1
admirer;admirador;1;0;0;0;0;0;0;0;0;0
admissibility;admissibilidade;0;0;0;0;0;0;0;0;0;0
admissible;admissível;1;0;0;0;0;0;0;0;0;1
admission;admissão;0;0;0;0;0;0;0;0;0;0
admit;Admitem;0;0;0;0;0;0;0;0;0;0
admittance;admissão;0;0;0;0;0;0;0;0;0;0
admitted;admitido;0;0;0;0;0;0;0;0;0;0
admitting;admitindo;0;0;0;0;0;0;0;0;0;0
admixture;mistura;0;0;0;0;0;0;0;0;0;0
admonition;admoestação;0;1;0;0;0;1;0;0;0;0
ado;barulho;0;0;0;0;0;0;0;0;0;0
adobe;adobe;0;0;0;0;0;0;0;0;0;0
adolescence;adolescência;0;0;0;0;0;0;0;0;0;0
adolescent;adolescente;0;0;0;0;0;0;0;0;0;0
adopt;adotar;0;0;0;0;0;0;0;0;0;0
adoption;adoção;0;0;0;0;0;0;0;0;0;0
adorable;adorável;1;0;0;0;0;0;1;0;0;0
adoration;adoração;1;0;0;0;0;0;1;0;0;1
adore;adorar;1;0;0;1;0;0;1;0;0;1
adorn;adornar;0;0;0;0;0;0;0;0;0;0
adornment;adorno;0;0;0;0;0;0;0;0;0;0
adrift;à deriva;0;1;0;1;0;1;0;1;0;0
adult;adulto;0;0;0;0;0;0;0;0;0;0
adulterated;adulterada;0;1;0;0;0;0;0;0;0;0
adultery;adultério;0;1;0;0;1;0;0;1;0;0
advance;avançar;1;0;0;1;0;1;1;0;1;0
advanced;avançado;1;0;0;0;0;0;0;0;0;0
advancement;avanço;1;0;0;0;0;0;0;0;0;0
advancing;avançando;0;0;0;0;0;0;0;0;0;0
advantage;vantagem;1;0;0;0;0;0;0;0;0;0
advantageous;vantajoso;1;0;0;0;0;0;0;0;0;0
advent;advento;1;0;0;1;0;0;1;0;0;1
adventure;aventura;1;0;0;1;0;0;0;0;0;0
adventurer;aventureiro;0;0;0;0;0;0;0;0;0;0
adventurous;aventuroso;1;0;0;0;0;0;0;0;0;0
adversary;adversário;0;1;1;0;0;0;0;0;0;0
adverse;desfavoraveis;0;1;1;0;1;1;0;1;0;0
adversity;adversidade;0;1;1;0;0;1;0;1;0;0
advertise;anunciar;0;0;0;0;0;0;0;0;0;0
advertisement;propaganda;0;0;0;0;0;0;0;0;0;0
advice;conselho;0;0;0;0;0;0;0;0;0;1
advisable;aconselhável;1;0;0;0;0;0;0;0;0;1
advise;aconselhar;1;0;0;0;0;0;0;0;0;1
advised;aconselhado;0;0;0;0;0;0;0;0;0;1
advisement;advisement;0;0;0;0;0;0;0;0;0;0
adviser;conselheiro;1;0;0;0;0;0;0;0;0;1
advocacy;advocacia;1;0;1;1;0;0;1;0;0;1
advocate;advogado;0;0;0;0;0;0;0;0;0;1
aegis;égide;0;0;0;0;0;0;0;0;0;0
aeration;arejamento;0;0;0;0;0;0;0;0;0;0
aerial;aéreo;0;0;0;0;0;0;0;0;0;0
aerodrome;aeródromo;0;0;0;0;0;0;0;0;0;0
aerodynamics;aerodinâmica;0;0;0;0;0;0;0;0;0;0
aeronautics;aeronáutica;0;0;0;0;0;0;0;0;0;0
aeroplane;avião;0;0;0;0;0;0;0;0;0;0
aesthetic;estético;1;0;0;0;0;0;0;0;0;0
aesthetics;estética;1;0;0;0;0;0;1;0;0;0
aetiology;etiologia;0;0;0;0;0;0;0;0;0;0
afar;longe;0;0;0;0;0;0;0;0;0;0
affable;afável;1;0;0;0;0;0;0;0;0;0
affair;assunto;0;0;0;0;0;0;0;0;0;0
affecting;afetando;0;0;0;0;0;0;0;0;0;0
affection;afeição;1;0;0;0;0;0;1;0;0;1
affections;afeições;0;0;0;0;0;0;0;0;0;0
affiche;affiche;0;0;0;0;0;0;0;0;0;0
affidavit;declaração;0;0;0;0;0;0;0;0;0;0
affiliated;afiliado;1;0;0;0;0;0;0;0;0;0
affiliation;afiliação;0;0;0;0;0;0;0;0;0;0
affinity;afinidade;0;0;0;0;0;0;0;0;0;0
affirm;afirmar;1;0;0;0;0;0;0;0;0;1
affirmation;afirmação;1;0;0;0;0;0;0;0;0;0
affirmative;afirmativo;1;0;0;0;0;0;0;0;0;0
affirmatively;afirmativamente;1;0;0;0;0;0;0;0;0;1
affix;afixar;0;0;0;0;0;0;0;0;0;0
afflict;afligir;0;1;0;0;0;1;0;1;0;0
afflicted;aflito;0;1;0;0;0;0;0;0;0;0
affliction;aflição;0;1;0;0;1;1;0;1;0;0
affluence;afluência;1;0;0;0;0;0;1;0;0;0
affluent;afluente;1;0;0;0;0;0;0;0;0;0
afford;proporcionar;1;0;0;0;0;0;0;0;0;0
affront;afronta;0;1;1;0;1;1;0;1;1;0
afield;longe;0;0;0;0;0;0;0;0;0;0
afore;antes;0;0;0;0;0;0;0;0;0;0
aforementioned;supracitado;0;0;0;0;0;0;0;0;0;0
aforesaid;supracitado;0;0;0;0;0;0;0;0;0;0
afraid;com medo;0;1;0;0;0;1;0;0;0;0
afresh;de novo;0;0;0;0;0;0;0;0;0;0
aft;à ré;0;0;0;0;0;0;0;0;0;0
aftermath;resultado;0;1;1;0;1;1;0;1;0;0
afternoon;tarde;0;0;0;0;0;0;0;0;0;0
aftertaste;gosto posterior;0;1;0;0;0;0;0;0;0;0
afterthought;reflexão tardia;0;0;0;0;0;0;0;0;0;0
aga;aga;1;0;0;0;0;1;0;0;0;1
agate;ágata;0;0;0;0;0;0;0;0;0;0
age;idade;0;0;0;0;0;0;0;0;0;0
aged;idoso;0;0;0;0;0;0;0;0;0;0
agency;agência;0;0;0;0;0;0;0;0;0;0
agent;agente;0;0;0;0;0;0;0;0;0;0
agglomeration;aglomeração;0;0;0;0;0;0;0;0;0;0
aggravated;agravado;0;1;1;0;0;0;0;0;0;0
aggravating;agravante;0;1;1;0;0;0;0;1;0;0
aggravation;agravamento;0;1;1;0;1;0;0;0;0;0
aggregate;agregado;0;0;0;0;0;0;0;0;0;0
aggregation;agregação;0;0;0;0;0;0;0;0;0;0
aggression;agressão;0;1;1;0;0;1;0;0;0;0
aggressive;agressivo;0;1;1;0;0;1;0;0;0;0
aggressor;agressor;0;1;1;0;0;1;0;0;0;0
aghast;horrorizado;0;1;0;0;1;1;0;0;1;0
agile;ágil;1;0;0;0;0;0;0;0;0;0
agility;agilidade;1;0;0;0;0;0;0;0;0;0
agitated;agitado;0;1;1;0;0;0;0;0;0;0
agitation;agitação;0;1;1;0;0;0;0;0;0;0
agnostic;agnóstico;0;0;0;0;0;0;0;0;0;0
ago;atrás;0;0;0;0;0;0;0;0;0;0
agonizing;agonizante;0;1;0;0;0;1;0;0;0;0
agony;agonia;0;1;1;0;0;1;0;1;0;0
agree;concordar;1;0;0;0;0;0;0;0;0;0
agreeable;agradável;1;0;0;0;0;0;0;0;0;1
agreed;combinado;1;0;0;0;0;0;0;0;0;1
agreeing;concordando;1;0;0;0;0;0;0;0;0;1
agreement;acordo;1;0;0;0;0;0;0;0;0;1
agricultural;agrícola;0;0;0;0;0;0;0;0;0;0
agriculture;agricultura;1;0;0;0;0;0;0;0;0;0
aground;encalhado;0;1;0;0;0;0;0;0;0;0
agua;agua;0;0;0;0;0;0;0;0;0;0
ahead;à frente;1;0;0;0;0;0;0;0;0;0
aid;ajuda;1;0;0;0;0;0;0;0;0;0
aiding;auxiliando;1;0;0;0;0;0;0;0;0;0
ail;afligir;0;1;0;0;0;0;0;1;0;0
ailing;doente;0;1;0;0;0;1;0;1;0;0
ailment;doença;0;0;0;0;0;0;0;0;0;0
aim;objetivo;0;0;0;0;0;0;0;0;0;0
aimless;sem objetivo;0;1;0;0;0;0;0;0;0;0
air;ar;0;0;0;0;0;0;0;0;0;0
airbag;Air bag;0;0;0;0;0;0;0;0;0;0
airlift;transporte aéreo;0;0;0;0;0;0;0;0;0;0
airline;companhia aérea;0;0;0;0;0;0;0;0;0;0
airman;aviador;0;0;0;0;0;0;0;0;0;0
airplane;avião;0;0;0;0;0;0;0;0;0;0
airport;aeroporto;0;0;0;1;0;0;0;0;0;0
airs;afetação;0;1;0;0;1;0;0;0;0;0
airship;dirigível;0;0;0;0;0;0;0;0;0;0
aisle;corredor;0;0;0;0;0;0;0;0;0;0
ait;ilhota;0;0;0;0;0;0;0;0;0;0
ajar;entreaberto;0;0;0;0;0;0;0;0;0;0
akin;aparentado;0;0;0;0;0;0;0;0;0;1
alabaster;alabastro;1;0;0;0;0;0;0;0;0;0
alarm;alarme;0;1;0;0;0;1;0;0;1;0
alarming;alarmante;0;1;0;0;0;1;0;0;1;0
alb;alva;0;0;0;0;0;0;0;0;0;1
album;álbum;0;0;0;0;0;0;0;0;0;0
alchemy;alquimia;0;0;0;0;0;0;0;0;0;0
alcohol;álcool;0;0;0;0;0;0;0;0;0;0
alcoholism;alcoolismo;0;1;1;0;1;1;0;1;0;0
alcove;alcova;0;0;0;0;0;0;0;0;0;0
alert;alerta;0;0;0;0;0;0;0;0;0;0
alertness;estado de alerta;1;0;0;1;0;1;0;0;1;0
alerts;alertas;0;0;0;1;0;1;0;0;1;0
alfalfa;alfafa;0;0;0;0;0;0;0;0;0;0
algebra;álgebra;0;0;0;0;0;0;0;0;0;0
algebraic;algébrico;0;0;0;0;0;0;0;0;0;0
algorithm;algoritmo;0;0;0;0;0;0;0;0;0;0
alibi;álibi;0;0;0;0;0;0;0;0;0;0
alien;alienígena;0;1;0;0;1;1;0;0;0;0
alienate;alienar;0;1;1;0;1;0;0;0;0;0
alienated;alienado;0;1;0;0;0;0;0;1;0;0
alienation;alienação;0;1;1;0;1;1;0;1;0;0
alight;aceso;0;0;0;0;0;0;0;0;0;0
aligned;alinhado;0;0;0;0;0;0;0;0;0;0
alignment;alinhamento;0;0;0;0;0;0;0;0;0;0
alike;parecido;0;0;0;0;0;0;0;0;0;0
alimentation;alimentação;1;0;0;0;0;0;0;0;0;0
alimony;pensão alimentícia;0;1;0;0;0;0;0;0;0;0
aliquot;alíquota;0;0;0;0;0;0;0;0;0;0
alive;vivo;1;0;0;1;0;0;1;0;0;1
alkali;alcalino;0;0;0;0;0;0;0;0;0;0
alkaloids;alcalóides;0;0;0;0;0;0;0;0;0;0
allay;acalmar;1;0;0;0;0;0;0;0;0;0
allegation;alegação;0;1;1;0;0;0;0;0;0;0
allege;alegar;0;1;0;0;0;0;0;0;0;0
alleged;alegado;0;0;0;0;0;0;0;0;0;0
allegiance;fidelidade;1;0;0;0;0;0;0;0;0;1
allegorical;alegórico;0;0;0;0;0;0;0;0;0;0
allegory;alegoria;0;0;0;0;0;0;0;0;0;0
allegro;allegro;1;0;0;0;0;0;0;0;0;0
alleviate;aliviar;1;0;0;0;0;0;0;0;0;0
alleviation;alívio;1;0;0;0;0;0;0;0;0;0
alley;beco;0;0;0;0;0;0;0;0;0;0
alliance;aliança;0;0;0;0;0;0;0;0;0;1
allied;aliado;1;0;0;0;0;0;0;0;0;1
alligator;jacaré;0;0;0;0;0;0;0;0;0;0
allocate;distribuir;0;0;0;0;0;0;0;0;0;0
allocation;alocação;0;0;0;0;0;0;0;0;0;0
allot;atribuir;0;0;0;0;0;0;0;0;0;0
allotment;atribuição;0;0;0;0;0;0;0;0;0;0
allowable;admissível;1;0;0;0;0;0;0;0;0;0
allowance;abono;0;0;0;0;0;0;0;0;0;0
allowed;permitidos;0;0;0;0;0;0;0;0;0;0
alloy;liga;0;0;0;0;0;0;0;0;0;0
allure;fascinação;1;0;0;1;0;0;1;0;1;0
alluring;sedutor;1;0;0;0;0;0;0;0;0;0
allusion;alusão;0;0;0;0;0;0;0;0;0;0
alluvial;aluvial;0;0;0;0;0;0;0;0;0;0
ally;aliado;1;0;0;0;0;0;0;0;0;1
almanac;almanaque;0;0;0;0;0;0;0;0;0;0
almighty;onipotente;1;0;0;0;0;0;0;0;0;0
aloft;em cima;0;0;0;0;0;0;0;0;0;0
aloha;aloha;1;0;0;1;0;0;1;0;0;0
alongside;ao lado de;0;0;0;0;0;0;0;0;0;0
aloof;indiferente;0;1;0;0;0;0;0;0;0;0
aloud;alto;0;0;0;0;0;0;0;0;0;0
alphabet;alfabeto;0;0;0;0;0;0;0;0;0;0
alphabetical;alfabético;0;0;0;0;0;0;0;0;0;0
altar;altar;0;0;0;0;0;0;0;0;0;0
alter;alterar;0;0;0;0;0;0;0;0;0;0
alteration;alteração;0;0;0;0;0;0;0;0;0;0
altercation;altercação;0;1;1;0;0;0;0;0;0;0
altered;alteradas;0;0;0;0;0;0;0;0;0;0
alternate;alternado;0;0;0;0;0;0;0;0;0;0
alternative;alternativa;0;0;0;0;0;0;0;0;0;0
altitude;altitude;0;0;0;0;0;0;0;0;0;0
alto;contralto;0;0;0;0;0;0;0;0;0;0
altogether;completamente;0;0;0;0;0;0;0;0;0;0
alumnus;ex-aluno;0;0;0;0;0;0;0;0;0;0
alveolar;alveolar;0;0;0;0;0;0;0;0;0;0
amalgam;amálgama;0;0;0;0;0;0;0;0;0;0
amalgamation;amalgamação;0;0;0;0;0;0;0;0;0;0
amass;acumular;0;0;0;0;0;0;0;0;0;0
amateur;amador;0;0;0;0;0;0;0;0;0;0
amaze;surpreender;0;0;0;0;0;0;0;0;1;0
amazement;assombro;0;0;0;0;0;0;0;0;0;0
amazingly;incrivelmente;1;0;0;0;0;0;1;0;1;0
ambassador;embaixador;1;0;0;0;0;0;0;0;0;1
amber;âmbar;0;0;0;0;0;0;0;0;0;0
ambient;ambiente;0;0;0;0;0;0;0;0;0;0
ambiguity;ambiguidade;0;0;0;0;0;0;0;0;0;0
ambiguous;ambíguo;0;1;0;0;0;0;0;0;0;0
ambit;âmbito;0;0;0;0;0;0;0;0;0;0
ambition;ambição;1;0;0;1;0;0;1;0;0;1
ambitious;ambicioso;0;0;0;0;0;0;0;0;0;0
ambulance;ambulância;0;0;0;0;0;1;0;0;0;1
ambush;emboscada;0;1;1;0;0;1;0;0;1;0
ameliorate;melhorar;1;0;0;0;0;0;0;0;0;0
amen;amém;1;0;0;0;0;0;1;0;0;1
amenable;dócil;1;0;0;0;0;0;0;0;0;0
amend;emendar;1;0;0;0;0;0;0;0;0;0
amendment;emenda;0;0;0;0;0;0;0;0;0;0
amends;reparação;1;0;0;0;0;0;0;0;0;0
amenity;amenidade;1;0;0;0;0;0;0;0;0;0
amethyst;ametista;0;0;0;0;0;0;0;0;0;0
amiable;amável;1;0;0;0;0;0;0;0;0;0
amicable;amigável;1;0;0;0;0;0;1;0;0;0
amid;entre;0;0;0;0;0;0;0;0;0;0
amidst;no meio de;0;0;0;0;0;0;0;0;0;0
ammonia;amônia;0;0;0;0;1;0;0;0;0;0
ammunition;munição;0;0;0;0;0;0;0;0;0;0
amnesia;amnésia;0;1;0;0;0;0;0;0;0;0
amnesty;anistia;1;0;0;0;0;0;1;0;0;0
amorphous;amorfo;0;0;0;0;0;0;0;0;0;0
amortization;amortização;0;0;0;0;0;0;0;0;0;1
amount;quantidade;0;0;0;0;0;0;0;0;0;0
amour;amour;1;0;0;1;0;0;1;0;0;1
ampersand;E comercial;0;0;0;0;0;0;0;0;0;0
amphetamines;anfetaminas;0;1;0;0;1;0;0;0;0;0
amphibian;anfíbio;0;0;0;0;0;0;0;0;0;0
amphibious;anfíbio;0;0;0;0;0;0;0;0;0;0
amphitheater;anfiteatro;0;0;0;0;0;0;0;0;0;0
amplification;amplificação;0;0;0;0;0;0;0;0;0;0
amplify;amplificar;0;0;0;0;0;0;0;0;0;0
amplitude;amplitude;0;0;0;0;0;0;0;0;0;0
amply;amplamente;0;0;0;0;0;0;0;0;0;0
amputation;amputação;0;0;0;0;0;0;0;0;0;0
amulet;amuleto;0;0;0;0;0;0;0;0;0;0
amuse;divertir;1;0;0;0;0;0;1;0;0;0
amused;divertido;1;0;0;0;0;0;1;0;0;0
amusement;divertimento;1;0;0;0;0;0;1;0;0;0
amusing;divertido;1;0;0;0;0;0;1;0;0;0
ana;ana;0;0;0;0;0;0;0;0;0;0
anaconda;jibóia;0;1;0;0;1;1;0;0;0;0
